,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Client ID,YYY528,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Tradebook for Equity from 2024-04-01 to 2025-03-31,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Symbol,ISIN,Trade Date,Exchange,Segment,Series,Trade Type,Auction,Quantity,Price,Trade ID,Order ID,Order Execution Time
NATIONALUM,INE139A01034,2024-04-02,NSE,EQ,EQ,sell,FALSE,170,159.15,42925981,1200000017168319,2024-04-02T10:55:29
IBREALEST,INE069I01010,2024-04-02,BSE,EQ,A,buy,FALSE,25,119.65,3798600,1712037172370913636,2024-04-02T13:32:04
ICICIBANK,INE090A01021,2024-04-02,NSE,EQ,EQ,buy,FALSE,5,1082.45,26981453,1100000041648602,2024-04-02T14:48:30
TATASTEEL,INE081A01020,2024-04-02,NSE,EQ,EQ,buy,FALSE,10,164.35,68439170,1300000041555259,2024-04-02T15:19:38
ADANIPOWER,INE814H01011,2024-04-04,NSE,EQ,EQ,buy,FALSE,5,634.95,54026,1000000000287003,2024-04-04T09:15:16
UJJIVANSFB,INE551W01018,2024-04-04,NSE,EQ,EQ,buy,FALSE,10,53.9,66372899,1300000035751624,2024-04-04T13:28:55
VOLTAS,INE226A01021,2024-04-04,NSE,EQ,EQ,buy,FALSE,3,1219.45,66590365,1300000037147122,2024-04-04T13:40:16
ONGC,INE213A01029,2024-04-04,BSE,EQ,A,sell,FALSE,19,269.35,8183700,1712221352915029212,2024-04-04T14:37:24
ONGC,INE213A01029,2024-04-04,BSE,EQ,A,sell,FALSE,81,269.35,8183900,1712221352915029212,2024-04-04T14:37:24
AAVAS,INE216P01012,2024-04-05,NSE,EQ,EQ,buy,FALSE,3,1515.45,211327,1000000001009740,2024-04-05T09:17:14
AAVAS,INE216P01012,2024-04-05,NSE,EQ,EQ,buy,FALSE,6,1534.3,1352490,1000000008333769,2024-04-05T09:50:16
AAVAS,INE216P01012,2024-04-05,NSE,EQ,EQ,buy,FALSE,1,1534.3,1352491,1000000008333769,2024-04-05T09:50:16
TATASTEEL,INE081A01020,2024-04-05,BSE,EQ,A,buy,FALSE,10,161.6,2285900,1712287800219720363,2024-04-05T09:51:18
VOLTAS,INE226A01021,2024-04-05,NSE,EQ,EQ,buy,FALSE,2,1223.95,61963941,1300000010392154,2024-04-05T10:09:31
BANDHANBNK,INE545U01014,2024-04-05,NSE,EQ,EQ,buy,FALSE,10,199.6,1703197,1000000011029758,2024-04-05T10:09:42
IBREALEST,INE069I01010,2024-04-05,BSE,EQ,A,buy,FALSE,10,134,2783000,1712291725583908308,2024-04-05T11:49:12
PRAJIND,INE074A01025,2024-04-05,BSE,EQ,A,buy,FALSE,10,542.15,70727300,1712297271416696222,2024-04-05T11:49:40
AAVAS,INE216P01012,2024-04-08,NSE,EQ,EQ,buy,FALSE,10,1617.35,1360484,1000000008558822,2024-04-08T09:56:24
